Run #, Period, Number of Sessions, Connection Time, Reply Time, CPU Utilization, Network Bandwidth, Network I/O
0_0,.07000,500,0.4,0.5,4.05,65875.0,863.7 
0_1,.07000,500,0.4,0.5,3.83,85000.0,864.0 
0_2,.07000,500,0.4,0.5,3.88,67375.0,863.7 
0_3,.07000,500,0.3,0.5,5.51,85000.0,863.7 
1_0,.06666,525,2.2,0.5,5.13,84375.0,897.3 
1_1,.06666,525,0.4,0.5,4.41,84875.0,897.3 
1_2,.06666,525,0.4,0.5,3.58,85000.0,897.3 
1_3,.06666,525,0.3,0.5,4.00,84750.0,897.3 
2_0,.06363,550,0.4,0.5,6.47,84875.0,940.8 
2_1,.06363,550,0.4,0.5,4.91,84875.0,940.9 
2_2,.06363,550,0.4,0.5,5.27,85000.0,940.8 
2_3,.06363,550,2.2,0.5,4.88,85000.0,940.9 
3_0,.06086,575,0.4,0.5,5.40,85000.0,989.0 
3_1,.06086,575,0.4,0.5,4.97,83125.0,989.0 
3_2,.06086,575,0.4,0.6,5.16,85000.0,989.0 
3_3,.06086,575,0.4,0.5,5.37,85000.0,989.0 
4_0,.05833,600,0.4,0.5,5.38,84875.0,1024.6 
4_1,.05833,600,0.3,0.5,5.64,85000.0,1025.0 
4_2,.05833,600,0.4,0.5,5.19,84750.0,1024.9 
4_3,.05833,600,0.4,0.5,6.37,66250.0,1025.0 
5_0,.05600,625,0.3,0.5,5.33,67375.0,1075.8 
5_1,.05600,625,0.3,0.5,6.45,84875.0,1075.9 
5_2,.05600,625,0.4,0.5,4.37,85000.0,1075.8 
5_3,.05600,625,0.3,0.5,5.80,66000.0,1075.8 
6_0,.05384,650,0.4,0.5,5.25,84875.0,1111.5 
6_1,.05384,650,0.4,0.5,5.30,85000.0,1111.6 
6_2,.05384,650,0.3,0.5,6.08,83000.0,1111.7 
6_3,.05384,650,1.9,0.5,5.36,84875.0,1111.7 
7_0,.05185,675,0.4,0.5,5.38,85000.0,1159.3 
7_1,.05185,675,0.3,0.5,4.83,66125.0,1159.1 
7_2,.05185,675,0.4,0.5,4.83,84875.0,1159.3 
7_3,.05185,675,0.4,0.5,6.08,84000.0,1159.3 
8_0,.05000,700,0.4,0.5,5.05,83000.0,1196.9 
8_1,.05000,700,0.4,0.5,6.29,85000.0,1196.9 
8_2,.05000,700,0.3,0.5,6.55,85000.0,1196.8 
8_3,.05000,700,0.4,0.5,4.86,85000.0,1196.8 
9_0,.04827,725,0.4,0.5,7.29,84875.0,1241.9 
9_1,.04827,725,0.3,0.5,6.33,83750.0,1242.0 
9_2,.04827,725,0.3,0.5,5.50,84375.0,1242.1 
9_3,.04827,725,0.4,0.5,7.13,84875.0,1242.3 
10_0,.04666,750,0.3,0.5,5.58,85000.0,1279.3 
10_1,.04666,750,0.4,0.5,7.55,84500.0,1279.3 
10_2,.04666,750,0.4,0.5,6.13,85000.0,1279.3 
10_3,.04666,750,0.4,0.5,4.61,66500.0,1279.3 
11_0,.04516,775,0.4,0.5,6.40,84875.0,1309.7 
11_1,.04516,775,0.4,0.5,5.55,84875.0,1309.8 
11_2,.04516,775,0.4,0.5,6.11,83875.0,1309.6 
11_3,.04516,775,0.4,0.5,6.61,85000.0,1309.6 
12_0,.04375,800,0.4,0.5,6.61,84875.0,1355.2 
12_1,.04375,800,0.4,0.5,6.50,67250.0,1355.2 
12_2,.04375,800,0.4,0.5,5.22,85000.0,1355.3 
12_3,.04375,800,0.4,0.5,5.41,85000.0,1355.2 
13_0,.04242,825,0.4,0.5,5.88,66875.0,1396.9 
13_1,.04242,825,0.4,0.5,5.86,85000.0,1396.8 
13_2,.04242,825,0.3,0.5,6.25,67250.0,1396.6 
13_3,.04242,825,0.4,0.5,5.52,84875.0,1396.5 
14_0,.04117,850,0.4,0.5,6.91,67500.0,1433.8 
14_1,.04117,850,0.3,0.5,5.25,85000.0,1433.9 
14_2,.04117,850,0.4,0.5,6.42,85000.0,1433.8 
14_3,.04117,850,0.4,0.6,6.83,84875.0,1433.7 
15_0,.04000,875,0.4,0.6,6.11,85000.0,1475.3 
15_1,.04000,875,0.4,0.5,5.91,84250.0,1475.3 
15_2,.04000,875,0.3,0.5,7.02,85000.0,1475.9 
15_3,.04000,875,0.4,0.5,6.08,84875.0,1475.5 
